iter	Passed	Remaining
1110	8576	3002
1111	8582	2994
1112	8589	2986
1113	8595	2978
1114	8602	2970
1115	8610	2962
1116	8617	2954
1117	8623	2946
1118	8630	2938
1119	8636	2930
1120	8642	2921
1121	8648	2913
1122	8655	2905
1123	8661	2897
1124	8667	2889
1125	8673	2880
1126	8679	2872
1127	8686	2864
1128	8692	2856
1129	8698	2848
1130	8708	2841
1131	8716	2833
1132	8727	2827
1133	8734	2819
1134	8743	2811
1135	8752	2804
1136	8759	2796
1137	8767	2788
1138	8775	2781
1139	8783	2773
1140	8791	2765
1141	8797	2757
1142	8804	2749
1143	8811	2742
1144	8819	2734
1145	8826	2726
1146	8833	2718
1147	8841	2710
1148	8849	2703
1149	8857	2695
1150	8863	2687
1151	8871	2679
1152	8877	2671
1153	8885	2664
1154	8894	2656
1155	8902	2649
1156	8908	2641
1157	8915	2633
1158	8921	2624
1159	8928	2617
1160	8934	2608
1161	8941	2600
1162	8947	2592
1163	8953	2584
1164	8960	2576
1165	8966	2568
1166	8973	2560
1167	8979	2552
1168	8985	2544
1169	8992	2536
1170	8998	2528
1171	9004	2520
1172	9010	2512
1173	9017	2503
1174	9023	2495
1175	9030	2487
1176	9036	2479
1177	9042	2471
1178	9049	2463
1179	9056	2456
1180	9064	2448
1181	9072	2440
1182	9078	2432
1183	9085	2424
1184	9091	2416
1185	9098	2408
1186	9104	2400
1187	9111	2392
1188	9117	2384
1189	9123	2376
1190	9129	2368
1191	9136	2360
1192	9142	2352
1193	9148	2344
1194	9156	2336
1195	9162	2328
1196	9168	2320
1197	9174	2312
1198	9181	2304
1199	9187	2296
1200	9193	2288
1201	9199	2280
1202	9206	2272
1203	9212	2264
1204	9218	2256
1205	9224	2248
1206	9231	2240
1207	9238	2233
1208	9246	2225
1209	9253	2217
1210	9259	2209
1211	9265	2201
1212	9272	2193
1213	9278	2185
1214	9284	2177
1215	9291	2169
1216	9297	2162
1217	9303	2154
1218	9309	2146
1219	9315	2138
1220	9322	2130
1221	9328	2122
1222	9335	2114
1223	9341	2106
1224	9347	2098
1225	9354	2090
1226	9360	2082
1227	9366	2074
1228	9372	2066
1229	9378	2058
1230	9384	2050
1231	9391	2042
1232	9397	2034
1233	9405	2027
1234	9413	2019
1235	9421	2012
1236	9427	2004
1237	9433	1996
1238	9440	1988
1239	9446	1980
1240	9452	1972
1241	9459	1964
1242	9465	1957
1243	9471	1949
1244	9478	1941
